# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1773505235907000000,1773505243679000000,12
FileNameCache.fastMisses,1773505235907000000,1773505243679000000,13
FileNameCache.queries,1773505235907000000,1773505243679000000,37
StorageLockContext.competingThreads.avg,1773505235907000000,1773505243679000000,0.0
DirectByteBufferAllocator.disposed,1773505235907000000,1773505243679000000,233
DirectByteBufferAllocator.misses,1773505235907000000,1773505243679000000,233
FilePageCache.pageFastCacheHits,1773505235907000000,1773505243679000000,4772
FilePageCache.pageLoads,1773505235907000000,1773505243679000000,233
FilePageCache.pageHits,1773505235907000000,1773505243679000000,0
DirectByteBufferAllocator.reclaimed,1773505235907000000,1773505243679000000,0
FilePageCache.maxRegisteredFiles,1773505235907000000,1773505243679000000,612
FilePageCache.uncachedFileAccess,1773505235907000000,1773505243679000000,132
FilePageCache.capacityInBytes,1773505235907000000,1773505243679000000,524288000
FilePageCache.totalPageDisposalsUs,1773505235907000000,1773505243679000000,2519
FilePageCache.totalPageLoadsUs,1773505235907000000,1773505243679000000,109649
DirectByteBufferAllocator.hits,1773505235907000000,1773505243679000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773505235907000000,1773505243679000000,0
FilePageCache.disposedBuffers,1773505235907000000,1773505243679000000,233
FilePageCache.pageLoadsAboveSizeThreshold,1773505235907000000,1773505243679000000,0
StorageLockContext.competingThreads.90P,1773505235907000000,1773505243679000000,0
FilePageCache.maxCacheSizeInBytes,1773505235907000000,1773505243679000000,246448128
StorageLockContext.competingThreads.max,1773505235907000000,1773505243679000000,0
NonBlockingReadAction.finalizedExecutionsCount,1773505235907000000,1773505243679000000,15
NonBlockingReadAction.failedExecutionsCount,1773505235907000000,1773505243679000000,0
NonBlockingReadAction.failedExecutionTimeUs,1773505235907000000,1773505243679000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1773505235907000000,1773505243679000000,350212
