# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1773502553071000000,1773502560388000000,12
FileNameCache.fastMisses,1773502553071000000,1773502560388000000,13
FileNameCache.queries,1773502553071000000,1773502560388000000,37
NonBlockingReadAction.finalizedExecutionsCount,1773502553071000000,1773502560388000000,15
NonBlockingReadAction.failedExecutionsCount,1773502553071000000,1773502560388000000,0
NonBlockingReadAction.failedExecutionTimeUs,1773502553071000000,1773502560388000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1773502553071000000,1773502560388000000,358384
DirectByteBufferAllocator.misses,1773502553071000000,1773502560388000000,233
FilePageCache.disposedBuffers,1773502553071000000,1773502560388000000,233
FilePageCache.maxRegisteredFiles,1773502553071000000,1773502560388000000,612
FilePageCache.pageFastCacheHits,1773502553071000000,1773502560388000000,4772
FilePageCache.pageLoadsAboveSizeThreshold,1773502553071000000,1773502560388000000,0
FilePageCache.maxCacheSizeInBytes,1773502553071000000,1773502560388000000,246448128
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773502553071000000,1773502560388000000,0
FilePageCache.pageLoads,1773502553071000000,1773502560388000000,233
FilePageCache.uncachedFileAccess,1773502553071000000,1773502560388000000,132
StorageLockContext.competingThreads.max,1773502553071000000,1773502560388000000,2
FilePageCache.pageHits,1773502553071000000,1773502560388000000,0
StorageLockContext.competingThreads.avg,1773502553071000000,1773502560388000000,0.15384615384615385
DirectByteBufferAllocator.reclaimed,1773502553071000000,1773502560388000000,0
FilePageCache.capacityInBytes,1773502553071000000,1773502560388000000,524288000
FilePageCache.totalPageDisposalsUs,1773502553071000000,1773502560388000000,332
DirectByteBufferAllocator.hits,1773502553071000000,1773502560388000000,0
FilePageCache.totalPageLoadsUs,1773502553071000000,1773502560388000000,109608
StorageLockContext.competingThreads.90P,1773502553071000000,1773502560388000000,0
DirectByteBufferAllocator.disposed,1773502553071000000,1773502560388000000,233
