# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoadsAboveSizeThreshold,1773682434461000000,1773682441677000000,0
DirectByteBufferAllocator.reclaimed,1773682434461000000,1773682441677000000,0
DirectByteBufferAllocator.hits,1773682434461000000,1773682441677000000,0
FilePageCache.maxCacheSizeInBytes,1773682434461000000,1773682441677000000,246448128
FilePageCache.totalPageLoadsUs,1773682434461000000,1773682441677000000,101528
FilePageCache.totalPageDisposalsUs,1773682434461000000,1773682441677000000,199
StorageLockContext.competingThreads.avg,1773682434461000000,1773682441677000000,0.0
FilePageCache.pageLoads,1773682434461000000,1773682441677000000,233
FilePageCache.pageFastCacheHits,1773682434461000000,1773682441677000000,4772
FilePageCache.maxRegisteredFiles,1773682434461000000,1773682441677000000,612
StorageLockContext.competingThreads.90P,1773682434461000000,1773682441677000000,0
FilePageCache.uncachedFileAccess,1773682434461000000,1773682441677000000,132
DirectByteBufferAllocator.disposed,1773682434461000000,1773682441677000000,233
DirectByteBufferAllocator.misses,1773682434461000000,1773682441677000000,233
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773682434461000000,1773682441677000000,0
FilePageCache.capacityInBytes,1773682434461000000,1773682441677000000,524288000
FilePageCache.disposedBuffers,1773682434461000000,1773682441677000000,233
StorageLockContext.competingThreads.max,1773682434461000000,1773682441677000000,0
FilePageCache.pageHits,1773682434461000000,1773682441677000000,0
NonBlockingReadAction.failedExecutionsCount,1773682434461000000,1773682441677000000,0
NonBlockingReadAction.failedExecutionTimeUs,1773682434461000000,1773682441677000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1773682434461000000,1773682441677000000,350345
NonBlockingReadAction.finalizedExecutionsCount,1773682434461000000,1773682441677000000,15
FileNameCache.queries,1773682434461000000,1773682441677000000,37
FileNameCache.totalMisses,1773682434461000000,1773682441677000000,12
FileNameCache.fastMisses,1773682434461000000,1773682441677000000,13
