# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.misses,1773503635992000000,1773503644278000000,233
FilePageCache.pageLoads,1773503635992000000,1773503644278000000,233
DirectByteBufferAllocator.disposed,1773503635992000000,1773503644278000000,233
StorageLockContext.competingThreads.90P,1773503635992000000,1773503644278000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773503635992000000,1773503644278000000,0
FilePageCache.maxCacheSizeInBytes,1773503635992000000,1773503644278000000,246448128
FilePageCache.pageLoadsAboveSizeThreshold,1773503635992000000,1773503644278000000,0
FilePageCache.totalPageLoadsUs,1773503635992000000,1773503644278000000,143874
FilePageCache.uncachedFileAccess,1773503635992000000,1773503644278000000,132
FilePageCache.totalPageDisposalsUs,1773503635992000000,1773503644278000000,553
DirectByteBufferAllocator.hits,1773503635992000000,1773503644278000000,0
StorageLockContext.competingThreads.max,1773503635992000000,1773503644278000000,0
FilePageCache.capacityInBytes,1773503635992000000,1773503644278000000,524288000
StorageLockContext.competingThreads.avg,1773503635992000000,1773503644278000000,0.0
FilePageCache.pageHits,1773503635992000000,1773503644278000000,0
FilePageCache.pageFastCacheHits,1773503635992000000,1773503644278000000,4771
FilePageCache.maxRegisteredFiles,1773503635992000000,1773503644278000000,612
DirectByteBufferAllocator.reclaimed,1773503635992000000,1773503644278000000,0
FilePageCache.disposedBuffers,1773503635992000000,1773503644278000000,233
NonBlockingReadAction.finalizedExecutionsCount,1773503635992000000,1773503644278000000,15
NonBlockingReadAction.finalizedExecutionTimeUs,1773503635992000000,1773503644278000000,368575
NonBlockingReadAction.failedExecutionsCount,1773503635992000000,1773503644278000000,0
NonBlockingReadAction.failedExecutionTimeUs,1773503635992000000,1773503644278000000,0
FileNameCache.totalMisses,1773503635992000000,1773503644278000000,12
FileNameCache.fastMisses,1773503635992000000,1773503644278000000,13
FileNameCache.queries,1773503635992000000,1773503644278000000,37
