# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773681829439000000,1773681837056000000,0
FilePageCache.disposedBuffers,1773681829439000000,1773681837056000000,233
FilePageCache.pageHits,1773681829439000000,1773681837056000000,0
DirectByteBufferAllocator.disposed,1773681829439000000,1773681837056000000,233
FilePageCache.uncachedFileAccess,1773681829439000000,1773681837056000000,132
FilePageCache.pageLoadsAboveSizeThreshold,1773681829439000000,1773681837056000000,0
FilePageCache.totalPageLoadsUs,1773681829439000000,1773681837056000000,81185
DirectByteBufferAllocator.misses,1773681829439000000,1773681837056000000,233
FilePageCache.pageFastCacheHits,1773681829439000000,1773681837056000000,4772
FilePageCache.totalPageDisposalsUs,1773681829439000000,1773681837056000000,250
FilePageCache.pageLoads,1773681829439000000,1773681837056000000,233
FilePageCache.maxCacheSizeInBytes,1773681829439000000,1773681837056000000,246448128
StorageLockContext.competingThreads.avg,1773681829439000000,1773681837056000000,0.0
DirectByteBufferAllocator.reclaimed,1773681829439000000,1773681837056000000,0
DirectByteBufferAllocator.hits,1773681829439000000,1773681837056000000,0
StorageLockContext.competingThreads.max,1773681829439000000,1773681837056000000,0
StorageLockContext.competingThreads.90P,1773681829439000000,1773681837056000000,0
FilePageCache.capacityInBytes,1773681829439000000,1773681837056000000,524288000
FilePageCache.maxRegisteredFiles,1773681829439000000,1773681837056000000,612
FileNameCache.fastMisses,1773681829439000000,1773681837056000000,13
FileNameCache.queries,1773681829439000000,1773681837056000000,37
FileNameCache.totalMisses,1773681829439000000,1773681837056000000,12
NonBlockingReadAction.failedExecutionsCount,1773681829439000000,1773681837056000000,0
NonBlockingReadAction.finalizedExecutionsCount,1773681829439000000,1773681837056000000,15
NonBlockingReadAction.finalizedExecutionTimeUs,1773681829439000000,1773681837056000000,424443
NonBlockingReadAction.failedExecutionTimeUs,1773681829439000000,1773681837056000000,0
