# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionTimeUs,1773500989275000000,1773500996240000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1773500989275000000,1773500996240000000,388760
NonBlockingReadAction.finalizedExecutionsCount,1773500989275000000,1773500996240000000,15
NonBlockingReadAction.failedExecutionsCount,1773500989275000000,1773500996240000000,0
StorageLockContext.competingThreads.max,1773500989275000000,1773500996240000000,0
FilePageCache.totalPageLoadsUs,1773500989275000000,1773500996240000000,89118
DirectByteBufferAllocator.reclaimed,1773500989275000000,1773500996240000000,0
StorageLockContext.competingThreads.avg,1773500989275000000,1773500996240000000,0.0
DirectByteBufferAllocator.disposed,1773500989275000000,1773500996240000000,233
FilePageCache.totalPageDisposalsUs,1773500989275000000,1773500996240000000,219
FilePageCache.pageHits,1773500989275000000,1773500996240000000,0
FilePageCache.pageLoads,1773500989275000000,1773500996240000000,233
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773500989275000000,1773500996240000000,0
FilePageCache.maxCacheSizeInBytes,1773500989275000000,1773500996240000000,246448128
FilePageCache.uncachedFileAccess,1773500989275000000,1773500996240000000,132
FilePageCache.maxRegisteredFiles,1773500989275000000,1773500996240000000,612
DirectByteBufferAllocator.misses,1773500989275000000,1773500996240000000,233
DirectByteBufferAllocator.hits,1773500989275000000,1773500996240000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1773500989275000000,1773500996240000000,0
FilePageCache.capacityInBytes,1773500989275000000,1773500996240000000,524288000
FilePageCache.pageFastCacheHits,1773500989275000000,1773500996240000000,4772
StorageLockContext.competingThreads.90P,1773500989275000000,1773500996240000000,0
FilePageCache.disposedBuffers,1773500989275000000,1773500996240000000,233
FileNameCache.fastMisses,1773500989275000000,1773500996240000000,13
FileNameCache.queries,1773500989275000000,1773500996240000000,37
FileNameCache.totalMisses,1773500989275000000,1773500996240000000,12
