# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageHits,1773500435828000000,1773500444535000000,0
StorageLockContext.competingThreads.90P,1773500435828000000,1773500444535000000,0
DirectByteBufferAllocator.disposed,1773500435828000000,1773500444535000000,233
StorageLockContext.competingThreads.max,1773500435828000000,1773500444535000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773500435828000000,1773500444535000000,0
DirectByteBufferAllocator.hits,1773500435828000000,1773500444535000000,0
FilePageCache.pageLoads,1773500435828000000,1773500444535000000,233
FilePageCache.totalPageDisposalsUs,1773500435828000000,1773500444535000000,227
FilePageCache.totalPageLoadsUs,1773500435828000000,1773500444535000000,62451
DirectByteBufferAllocator.reclaimed,1773500435828000000,1773500444535000000,0
StorageLockContext.competingThreads.avg,1773500435828000000,1773500444535000000,0.0
FilePageCache.capacityInBytes,1773500435828000000,1773500444535000000,524288000
FilePageCache.disposedBuffers,1773500435828000000,1773500444535000000,233
FilePageCache.pageLoadsAboveSizeThreshold,1773500435828000000,1773500444535000000,0
FilePageCache.pageFastCacheHits,1773500435828000000,1773500444535000000,16256
FilePageCache.maxCacheSizeInBytes,1773500435828000000,1773500444535000000,245399552
DirectByteBufferAllocator.misses,1773500435828000000,1773500444535000000,233
FilePageCache.uncachedFileAccess,1773500435828000000,1773500444535000000,265
FilePageCache.maxRegisteredFiles,1773500435828000000,1773500444535000000,836
NonBlockingReadAction.finalizedExecutionTimeUs,1773500435828000000,1773500444535000000,411906
NonBlockingReadAction.failedExecutionTimeUs,1773500435828000000,1773500444535000000,0
NonBlockingReadAction.finalizedExecutionsCount,1773500435828000000,1773500444535000000,15
NonBlockingReadAction.failedExecutionsCount,1773500435828000000,1773500444535000000,0
FileNameCache.queries,1773500435828000000,1773500444535000000,312
FileNameCache.fastMisses,1773500435828000000,1773500444535000000,12
FileNameCache.totalMisses,1773500435828000000,1773500444535000000,12
