# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1773506087731000000,1773506094816000000,12
FileNameCache.queries,1773506087731000000,1773506094816000000,37
FileNameCache.fastMisses,1773506087731000000,1773506094816000000,13
DirectByteBufferAllocator.hits,1773506087731000000,1773506094816000000,0
DirectByteBufferAllocator.misses,1773506087731000000,1773506094816000000,233
StorageLockContext.competingThreads.90P,1773506087731000000,1773506094816000000,0
FilePageCache.pageLoads,1773506087731000000,1773506094816000000,233
FilePageCache.totalPageLoadsUs,1773506087731000000,1773506094816000000,98129
StorageLockContext.competingThreads.max,1773506087731000000,1773506094816000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773506087731000000,1773506094816000000,0
StorageLockContext.competingThreads.avg,1773506087731000000,1773506094816000000,0.0
FilePageCache.disposedBuffers,1773506087731000000,1773506094816000000,233
FilePageCache.totalPageDisposalsUs,1773506087731000000,1773506094816000000,258
FilePageCache.maxCacheSizeInBytes,1773506087731000000,1773506094816000000,246448128
DirectByteBufferAllocator.reclaimed,1773506087731000000,1773506094816000000,0
DirectByteBufferAllocator.disposed,1773506087731000000,1773506094816000000,233
FilePageCache.pageFastCacheHits,1773506087731000000,1773506094816000000,4771
FilePageCache.maxRegisteredFiles,1773506087731000000,1773506094816000000,612
FilePageCache.uncachedFileAccess,1773506087731000000,1773506094816000000,132
FilePageCache.capacityInBytes,1773506087731000000,1773506094816000000,524288000
FilePageCache.pageHits,1773506087731000000,1773506094816000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1773506087731000000,1773506094816000000,0
NonBlockingReadAction.finalizedExecutionsCount,1773506087731000000,1773506094816000000,15
NonBlockingReadAction.failedExecutionsCount,1773506087731000000,1773506094816000000,0
NonBlockingReadAction.failedExecutionTimeUs,1773506087731000000,1773506094816000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1773506087731000000,1773506094816000000,316991
